,,Min Return,,,,,,,,,,,,,,,,,,,,,,,,,,Max Return,,,,,,,,,,,,,,,,,,,,,,,,,
Quy,Nam,CCL,CDC,CRE,D2D,DIG,DXG,HDC,HDG,HPX,IJC,ITC,KBC,KDH,LHG,NBB,NLG,NTL,NVL,PDR,SZL,TCH,TDC,TIP,TIX,VHM,VPI,CCL,CDC,CRE,D2D,DIG,DXG,HDC,HDG,HPX,IJC,ITC,KBC,KDH,LHG,NBB,NLG,NTL,NVL,PDR,SZL,TCH,TDC,TIP,TIX,VHM,VPI
3,2019,-0.09271523183,#DIV/0!,-0.05212355208,-0.07971014492,-0.07037037038,-0.1903485254,0,-0.01049475257,-0.05283018868,0.01442307678,0,0.04225352119,-0.1147540983,-0.1216216216,-0.0973871734,-0.008591065307,-0.07188160671,-0.03355704696,-0.00383141763,-0.00900900899,0.03276338573,-0.01314217454,-0.1618705036,-0.0625,0.02143757882,-0.03095238095,0.7218543048,#DIV/0!,-0.0135135136,0.3275362319,0.13166661,0.1900495964,0.5167785233,0.1184407797,0.01886792455,0.5096153844,0.4349593496,0.1795179247,0.06557377054,0.07027027032,0.04513064127,0.1030927835,0.1627906977,0.07382550337,0.04597701146,0.4654922631,0.2048906166,0.2962962962,0.4280575539,0.1428571429,0.1537096932,0.0512979473
4,2019,-0.345230467,-0.2124183008,-0.05241935484,0.02285714285,-0.1034482758,-0.2177650429,-0.004739336499,-0.1149369437,-0.007648183564,0.003401360511,-0.03105590067,-0.01488895456,-0.02352941176,-0.08484848486,-0.04901960785,-0.03746573502,-0.03571428569,-0.1379310345,-0.01149425289,-0.1270833333,-0.0890269151,-0.07403189066,-0.212,-0.1535947713,-0.06270996641,-0.03529411765,-0.06999999999,0.1688803799,0.01814516127,0.2742857143,0.04137931039,0,0.172985782,0.04714285716,0.051625239,0.2052543783,0.05590062104,0.06777770659,0.06666666668,0.009090909061,0.06372549021,0.05575539568,0.1255607897,-0.001567398117,0.07854406131,0.04166666664,0.3761569608,0.08086560369,0.02999999999,0.1437908497,0.1142217245,-0.001176470591
1,2020,-0.5148148148,#DIV/0!,-0.3951612902,-0.4558546035,-0.25,-0.4655172414,-0.3928571429,-0.46,0,-0.498125,-0.2617647059,-0.3300970874,-0.312267658,-0.2564935065,-0.09500000004,-0.3272727273,-0.3924050632,-0.1428571428,-0.08778625952,-0.3611111111,-0.4946401225,-0.2615933412,-0.3233830846,#DIV/0!,-0.3514150943,-0.04475853944,-0.01851851849,#DIV/0!,0.008064516223,-0.001265822771,0.007246376818,-0.01379310335,0.02941176474,0.03333333335,0.252561983,0.03125,0.005882353019,0.05825242718,-0.01486988852,0.06818181814,0.02999999994,0.02181818181,0.002109704676,-0.03361344536,0.01145038169,0.0150462963,0.3905053599,0.04518430445,-0.004975124382,#DIV/0!,0.05424528301,0.002355712609
2,2020,0.04325699739,-0.07692307694,-0.01333333349,0.04066985643,0.01449275364,0.002580645201,0.02310231016,0.03353658538,-0.06968641117,0.02117061034,-0.002418612454,0.03603603604,-0.01081081075,0.0172413793,0.008823381063,0,0.04966887423,-0.003853564542,-0.004016064227,0.02659574466,0.009090909181,0.02564102564,0.0434782609,-0.05084745761,-0.003636363634,-0.004878048792,0.9338422393,0.8461538463,0.28,0.5615008374,0.2801932366,0.6387096774,0.2866339851,0.8567073171,-0.003484320561,0.6438356165,0.1365886301,0.4234234234,0.3135135136,0.6293103448,0.1470586548,0.3057387217,0.2450331125,0.2023121388,0.2479916185,0.524822695,0.4242424243,0.342948718,0.6340579711,0.1106857216,0.4381818182,0.03902439025
3,2020,-0.01785714283,-0.05829596406,-0.01108033254,-0.01129943505,-0.008163265313,-0.2160714286,-0.03289473686,-0.1168831168,-0.1048951049,-0.09174311926,-0.02343750001,-0.1046931408,-0.01508620685,0,-0.09743589742,0.01632653059,-0.08064516121,-0.004878048774,-0.01037344405,0.008771929864,-0.08369360333,-0.04522613068,-0.06020942409,-0.03958691911,-0.06092715231,-0.04593639574,0.2648809522,0.3183856503,0.3628808864,0.4049571237,0.2448979591,0.04464285717,0.4835526316,0.2935064936,0.09370656712,0.1910237573,0.25,0.08664259928,0.1538466236,0.8303780079,0.02564102566,0.1632653061,0.1516129033,0.05853658537,0.6970954356,0.3946456135,0.08268834764,0.1520100503,0.4607329843,0.06712564546,0.07947019868,-0.004711425174
4,2020,-0.04754042353,-0.09905380131,-0.02895322941,-0.1520547945,0.0590163935,0.01980198021,-0.0465631929,-0.08433734943,-0.04411764706,-0.05737704917,-0.01333333331,-0.03521126761,-0.02268041241,-0.1630434782,-0.005102040833,0.009708737909,-0.05042016818,-0.05477308295,-0.01554404149,-0.07142857142,-0.1647331786,-0.02425578823,-0.003690036903,-0.1290322581,0.00132450331,-0.004854368944,0.2914929716,0.2367129702,0.5554571924,0.2215896519,0.8229508197,0.6039603961,0.7050997783,0.5702811245,0.1029411765,1.083693089,0.1696665497,0.7183098592,0.2082474227,0.3242753623,0.2372448979,0.1655313222,0.4145658262,0.06259780907,0.4414514547,0.1612244898,0.002320185671,0.916522068,0.7712177122,0.03870967744,0.1960264901,0.01334951455
1,2021,-0.01237113402,-0.1861702128,-0.2055749128,-0.2025723473,-0.03249097476,0.02821316616,-0.06359945873,-0.07822891069,-0.01754385965,-0.1244897959,-0.02931596085,0.06967213115,0.001706484659,-0.1311953353,-0.08041237113,0.008474576268,-0.05103203306,-0.01515151513,-0.001941747567,-0.09541284405,0.005012531336,-0.09120521173,-0.003773692386,-0.07457627117,-0.02346368715,0.002998500757,0.5670103092,0.005319148942,0.1080139373,0.06752411574,0.2581227437,0.592476489,0.2368064953,0.2447178398,0.4894736842,0.3408163265,0.3094462541,0.8647540984,0.2116040956,0.1370262391,0.1546391753,0.2542372881,0.2177022584,0.2718844577,0.3499027776,0.07889908259,0.3233082708,0.5537459283,0.2203504177,0.1169491526,0.182122905,0.1409295352
2,2021,-0.1302816902,-0.1350482315,-0.07232704408,-0.1034482759,-0.04710144928,-0.0604166667,-0.1136890951,-0.1354166667,-0.07122507123,-0.07103825133,-0.2011494253,-0.1952817824,0.008210180604,0.003012048202,-0.0892857143,-0.02571428573,-0.1189591078,0.01614906832,0.01935483871,-0.04440154441,-0.06113537119,-0.2077294686,-0.1573389651,-0.08948194659,-0.003083247686,-0.07044198898,0.1126760563,0.02250803861,0.4339622641,0.04825195118,0.1829710145,0.2041666667,0.5400232018,0.07407407406,0.1566951567,0.2732240437,0.02298850578,0.07732634338,0.356485907,0.3704819277,0.2696428571,0.1855580523,0.05947955399,1.039348092,0.7277470593,0.04247104248,0.1528384279,0.04106280193,0.0348468849,0.1599080128,0.2189105858,0.02762430938
3,2021,-0.1893939394,-0.09285714284,-0.05191873593,-0.08100558658,-0.142300195,-0.1625,-0.09248554914,-0.02059496566,-0.1354466859,-0.2950525506,-0.1457627119,-0.2057291667,-0.03861517978,-0.0716648291,-0.1568265683,-0.058974359,-0.0817490494,-0.1570247934,-0.1434689507,-0.06403013182,-0.1739130435,-0.1384615385,-0.1777777778,#DIV/0!,-0.1368787978,-0.03636363637,0.159090909,0.06785714293,0.3464427219,0.1155419877,0.3898635477,-0.008333333338,0.4181117534,0.3707093822,0.2411386388,-0.01355421689,0.1457627118,0.16015625,0.137150466,0.1819184124,0.2988929889,0.1717948718,0.3878326996,-0.00826446281,0.02997858671,0.09227871937,0.002288329482,0.2051282051,0.06222222222,#DIV/0!,0.01694915254,0.1888111888
4,2021,-0.02142857142,-0.04081632657,-0.08737864078,-0.009433962259,-0.03064516126,-0.01570680626,0.02853260869,-0.02586206895,-0.053125,-0.01256732492,-0.009771986976,-0.01954022989,-0.01201923079,-0.03476482619,-0.01867816092,-0.01549463648,-0.02114803623,-0.002941176471,0.02689486551,0,-0.07282913166,-0.02325581395,-0.02570379436,-0.02170542635,-0.01660280971,0.007058823547,0.4357142857,0.2585034013,0.4012944984,0.3075471698,2.274193548,0.9109947644,0.5625,0.3820695183,0.25,0.3105924596,0.9205209806,0.4275862069,0.2740384615,0.1758691207,0.9052873563,0.7362954936,0.3670694865,0.1687251513,0.2102689486,0.2990291262,0.6554621848,0.5511627907,0.3170134639,0.1875968992,0.09833971903,0.4882351453
1,2022,-0.2126436781,-0.1129943503,-0.1951219512,-0.003350083726,-0.3402275078,-0.1442857143,-0.2168421053,-0.1428571429,-0.1141141141,-0.1405750799,-0.3418803419,-0.1694078947,-0.03725490195,-0.1188679245,-0.3736017897,-0.2367601246,-0.2182254197,-0.1725274725,-0.112394958,-0.1013824885,-0.2327869466,-0.2178571429,0.02083333334,-0.04624277456,-0.09756097561,0.02003642985,0.1091954023,0.05084745759,0.06097560972,0.162479062,0.2388831437,0.3357142857,0.1157894737,0.1209406336,0.02702702703,0.07827476036,0.08333333333,0.01973684211,0.1137254902,0.08301886794,0.3355704698,0.0140186916,-0.02038369304,-0.02087912088,-0.004201680678,0.1443932412,0.05646630239,0.1303571429,0.3645833334,0.07514450867,0.04146341463,0.1857923497
2,2022,-0.4888888889,-0.1236559139,-0.5113924051,-0.3105015401,-0.6594594595,-0.6105150215,-0.6389563107,-0.4585714286,-0.1766666667,-0.4405594406,-0.5054945055,-0.3173258004,-0.2784090909,-0.4668989547,-0.5284552846,-0.3896688645,-0.337289342,-0.07615480649,-0.2568226347,-0.2350486787,-0.5099009901,-0.5408388521,-0.5210842332,-0.1554803066,-0.1688654354,-0.06045751634,0.01587301584,-0.04301075265,-0.01012658231,0.006359300485,0.05297297297,-0.002145922761,0.01941747574,0.02285714285,0.01,0.01573426579,0.04120879121,0.03578154426,0.01515151513,0.06620209059,0.03739837398,0.0159574468,0.01810584957,0.09488139825,0.03910614526,-0.001390820588,0.02475247524,0.04635761589,0.02355072463,0.02710027101,0.007915567282,0.04575163397
3,2022,-0.1274028454,-0.005813953494,-0.08636363635,-0.2289156627,-0.0141242938,0.002564102549,-0.07567567569,-0.150442138,-0.0641025641,-0.09890109893,-0.04102564103,-0.1590214067,-0.2068124186,-0.2347560976,-0.053125,-0.1536312849,-0.0457256461,-0.01476510067,-0.03474903473,-0.0592334495,-0.04125048549,-0.04464285714,-0.03354297694,-0.09785932723,-0.1835748792,-0.02539682541,0.1311444597,0.09883720931,0.3737598642,0.02048192769,0.4509043034,0.4871794872,0.5135135135,0.1851332174,0.003663003663,0.3351648351,0.6717948718,0.2094801223,0.1113109429,0.2652439024,0.34375,0.2388268156,0.2007952287,0.1597315436,0.1274131274,0.07839721251,0.2080243883,1.174107143,0.2410901467,0.05351681955,0.01449275362,0.06507925857
4,2022,-0.4610472542,-0.03030303025,-0.3772413793,-0.421875,-0.6599326599,-0.5798029557,-0.3547589617,-0.4287469287,-0.8217898833,-0.4479041916,-0.5324894515,-0.5189655172,-0.3226381462,-0.4183266932,-0.381443299,-0.4174917492,-0.4146341463,-0.8351001178,-0.7651663405,-0.1274533026,-0.4955752213,-0.6084698336,-0.4490238612,#DIV/0!,-0.1439842209,-0.1302170284,-0.06896551728,0.03581267221,-0.0275862069,-0.04374999998,-0.04040404039,-0.06896551727,0.05562422744,-0.06879606882,0.01945525292,-0.06886227544,0.03375527426,-0.06896551724,0.1087344028,-0.03784860555,0.05670103093,0.03396723795,-0.02439024395,-0.03415783274,0.003913894318,0.01747572816,-0.02654867262,0.07970714416,-0.06290672453,#DIV/0!,0.1499013807,0.01836393991
1,2023,-0.02884615396,-0.05205479449,-0.3883495146,-0.05494505494,-0.2307692308,-0.2305882354,-0.05190311419,-0.1082802548,-0.1326086957,0.0353718593,0.0549132948,-0.1280991736,-0.08113207549,-0.02341920379,-0.07003891051,-0.264516129,0.03225806453,-0.2678571429,-0.2573529412,-0.07789473685,0.0206185567,-0.07722772277,-0.07163323784,#DIV/0!,-0.1479166667,-0.03739166431,0.168627451,0.1833910034,0.08917197451,0.1673913043,0.3277685419,0.2210982659,0.1136363636,0.06792452828,0.1639344262,0.07392996109,0.03064516128,0.1903225807,0.1,0.1139705883,0.1242105263,0.1634756995,0.1683168317,0.03724928366,#DIV/0!,0.1104166667,0.05924814892,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,2023,0.01353965171,-0.01617250676,0.02698863636,0.02277432714,0.06666666672,0,-0.001560062413,0.01313628898,-0.05651105651,0,-0.04415274463,0.00206185567,0.01630434783,0.0224215247,-0.03053435115,0.06902985073,0.06857142856,0.003937007874,0.03599999996,-0.04716981133,-0.006784260434,0.03364879075,0.00574712643,#DIV/0!,-0.07766990291,-0.07692307692,0.4700193422,0.02425876013,0.3636363636,0.2546583851,0.7111111111,0.2749003984,0.1797971919,0.2939244663,0.1351351351,0.2153846154,0.6587112172,0.2494845361,0.1467391304,0.3273542601,0.2099236641,0.3123063926,0.44,0.2283464567,0.416,0.1192877092,0.2455902306,0.5247108307,0.33256299,#DIV/0!,0.1067961165,0.005366726297
3,2023,0,-0.008219178004,-0.03492433062,-0.03568081739,-0.01187648461,-0.01683501682,0.01071428574,-0.1230620155,-0.09009009009,0,-0.1166666667,0.005110732538,-0.01948051949,-0.00939849622,0.01712328767,-0.03333333333,-0.01052631579,-0.0303030303,-0.005952380977,-0.08514492751,0.002249718785,-0.2039215686,-0.04651162789,#DIV/0!,-0.1909090909,-0.01353965184,0.2752808988,0.09589041097,0.2689173458,0.1683168317,0.3990498812,0.5555555556,0.4071428572,0.07881136953,0.6463963964,0.2222222222,0.2125,0.2316865417,0.2175324675,0.257518797,0.6095890411,0.2121212121,0.2000000001,0.4814814815,0.6071428572,0.02355072464,0.6916792883,0.2274509804,0.1627906977,#DIV/0!,0.1454545455,0.06576402321
4,2023,-0.0977443609,-0.04761904759,-0.1988304094,-0.1139705883,-0.2410358566,-0.1798941799,-0.0892857143,-0.1207815275,#DIV/0!,-0.2096219932,-0.2269767442,-0.2056074766,-0.04318539434,-0.2107623318,-0.08571428571,-0.1342857143,-0.2,-0.1730769231,-0.1252609603,-0.02115384614,-0.125,-0.1803921569,-0.04086021506,0.003021148034,-0.1549450549,-0.02264150943,0.1082706767,0.02005012533,0.01871345029,0,0.08565737052,0.126984127,0.1818181818,0.04085257548,#DIV/0!,0.02405498283,0.03720930233,0.03738317757,0.09831535723,0.02541106127,0.1272727273,0.09428571428,0.09122807015,0.1730769231,0.2025052192,0.1372831889,0.1422413793,0.01960784314,0.2040299991,0.1542172755,0.05494505495,0.07169811321
1,2024,-0.02222222222,-0.004987531177,-0.03953488372,-0.003968253967,-0.02803738316,-0.09560723512,-0.08116385911,-0.1105072463,#DIV/0!,-0.003584229393,-0.03703703704,-0.04881889764,-0.05732484075,-0.02640264025,-0.06496519722,-0.01773533424,0.05494505497,-0.05865102639,-0.03052064632,0.0013736264,-0.03409090909,-0.09687184662,-0.0627615063,#DIV/0!,-0.05092592593,-0.01636363636,0.3055555556,0.01995012471,0.07209302326,0.7797619048,0.2242990654,0.04909560726,0.07044410416,0.07971014497,#DIV/0!,0.3324422474,0.162037037,0.137007874,0.2292993631,0.2260726073,0.1972157773,0.2169167804,0.4395604396,0.06158357771,0.1526032316,0.1538461539,0.1893939394,0.009081735621,0.2217573222,#DIV/0!,0.06828703704,0.08727272727
2,2024,-0.2,-0.02999999995,-0.1347438753,-0.04081632652,-0.1878881987,-0.2191435768,-0.1688125894,-0.1384615385,-0.2824427481,-0.1424050633,-0.2267206478,-0.1988555079,-0.126984127,-0.1361111111,-0.1046511628,-0.169550173,-0.03435114505,-0.2289855072,-0.2056514914,-0.06553398058,-0.07324840764,-0.1304347826,-0.1647727273,#DIV/0!,-0.1260210035,-0.04623287671,0.2486486486,0,0.04677060134,0.1065759637,0.04347826089,0.04785894209,0.01287553647,0.1914529915,-0.0368956743,0.03164556961,0.02024291498,0.01573676681,0.02116402116,0.07083333333,0.007751937984,0.05882352942,0.3305843165,0.06086956522,0.03453689167,0.04126213593,0.3503184713,0.03695652174,0.00946969698,#DIV/0!,0.03850641774,0.03082191781
3,2024,-0.164,-0.1164556962,-0.16125,-0.1975308642,-0.1826741996,-0.2375,-0.1022530329,-0.09236234458,-0.173553719,-0.0824742268,-0.096069869,-0.1603448276,-0.0650406504,0.01321105179,-0.1182572614,-0.1002415459,-0.1035242291,-0.1729323308,-0.2827004219,-0.01052665217,-0.1552631579,-0.01573976915,-0.1237721021,-0.09452054795,-0.08366533865,0.01200686106,0.1,0.005063291144,-0.0075,0.01440329218,0.03954802258,0.04375,0.07426370013,0.1509769094,0.04297520661,0.09965635737,0.09170305677,0.01551724138,0.06639566394,0.1755487341,0.05809128631,0.06521739133,0.2378854626,0.01503759398,0.03375527426,0.05029239764,0.08421052632,0.2696747114,0.04911591358,-0.02739726029,0.1792828685,0.2041171197
4,2024,-0.166089573,-0.04871060177,-0.03034682081,-0.2333643906,-0.1853448276,-0.1017964072,-0.1057513915,-0.05008944544,-0.1228070175,-0.04014598537,-0.06696428571,-0.08510638298,-0.09511577171,-0.05706521739,-0.01818181818,-0.1407942238,-0.145858768,-0.08597285068,-0.1244444444,-0.01094890511,-0.217630854,-0.05346534653,-0.07956989247,#DIV/0!,-0.06542056075,-0.03424657534,0.08765910469,0.02578796564,0.1271676301,-0.009127789044,-0.01293103448,0.08083832341,0.0185528757,0.1109123435,0.005847953216,0.03649635035,0.02232142857,0.04787234043,0.02223640164,0.03260869565,0.1363636364,0.001203369424,0.06530392546,0.01809954751,-0.002222222222,0.06690997567,0.002754820937,0.1386138614,0.004301075289,#DIV/0!,0.1273364486,0.02397260274